seagal 		 0.0556 		 0.0090
schumacher 		 0.0588 		 0.0085
3000 		 0.0625 		 0.0080
incoherent 		 0.0667 		 0.0075
hudson 		 0.0667 		 0.0075
insulting 		 0.0690 		 0.0145
sans 		 0.0714 		 0.0070
fairness 		 0.0714 		 0.0070
illogical 		 0.0714 		 0.0070
excruciatingly 		 0.0714 		 0.0070
sucks 		 0.0714 		 0.0140
ludicrous 		 0.0732 		 0.0205
stupidity 		 0.0882 		 0.0170
atrocious 		 0.1053 		 0.0095
insipid 		 0.1053 		 0.0095
nonsense 		 0.1071 		 0.0140
idiotic 		 0.1081 		 0.0185
unbearable 		 0.1111 		 0.0090
one-note 		 0.1176 		 0.0085
dud 		 0.1176 		 0.0085
turkey 		 0.1176 		 0.0170
ugh 		 0.1250 		 0.0080
stinks 		 0.1250 		 0.0080
justin 		 0.1250 		 0.0080
miscast 		 0.1250 		 0.0120
chuckle 		 0.1304 		 0.0115
unintentional 		 0.1304 		 0.0115
uninvolving 		 0.1304 		 0.0115
warrant 		 0.1333 		 0.0075
bothered 		 0.1333 		 0.0075
pray 		 0.1333 		 0.0075
jolie 		 0.1333 		 0.0075
wrestling 		 0.1429 		 0.0070
angelina 		 0.1429 		 0.0070
register 		 0.1429 		 0.0070
passable 		 0.1429 		 0.0070
101 		 0.1429 		 0.0070
headache 		 0.1429 		 0.0070
non-existent 		 0.1429 		 0.0070
freddie 		 0.1429 		 0.0105
laughably 		 0.1429 		 0.0105
wasted 		 0.1441 		 0.0555
inept 		 0.1489 		 0.0235
alicia 		 0.1500 		 0.0100
prinze 		 0.1500 		 0.0100
forgot 		 0.1515 		 0.0165
sloppy 		 0.1515 		 0.0165
lousy 		 0.1538 		 0.0130
poorly 		 0.1538 		 0.0390
page 		 0.1579 		 0.0095
unoriginal 		 0.1579 		 0.0095
fares 		 0.1579 		 0.0095
lame 		 0.1579 		 0.0475
awful 		 0.1583 		 0.0600
b-movie 		 0.1600 		 0.0125
garbage 		 0.1622 		 0.0185
waste 		 0.1628 		 0.0645
ridiculous 		 0.1641 		 0.0640
embarrassment 		 0.1667 		 0.0090
stretched 		 0.1667 		 0.0090
uninspired 		 0.1667 		 0.0180
bore 		 0.1702 		 0.0235
lifeless 		 0.1707 		 0.0205
random 		 0.1750 		 0.0200
fishing 		 0.1765 		 0.0085
carnage 		 0.1765 		 0.0085
leslie 		 0.1765 		 0.0085
sinise 		 0.1765 		 0.0085
redeeming 		 0.1765 		 0.0170
miserably 		 0.1786 		 0.0140
worst 		 0.1814 		 0.1185
spoiled 		 0.1818 		 0.0110
whatsoever 		 0.1818 		 0.0220
painfully 		 0.1864 		 0.0295
idiots 		 0.1875 		 0.0080
alcohol 		 0.1875 		 0.0080
capitalize 		 0.1875 		 0.0080
jewel 		 0.1875 		 0.0080
80 		 0.1875 		 0.0080
yell 		 0.1875 		 0.0080
unlikable 		 0.1875 		 0.0080
sat 		 0.1892 		 0.0185
unfunny 		 0.1899 		 0.0395
inject 		 0.1905 		 0.0105
muddled 		 0.1905 		 0.0105
mining 		 0.1905 		 0.0105
rip-off 		 0.1923 		 0.0130
embarrassing 		 0.1923 		 0.0260
bland 		 0.1923 		 0.0390
stupid 		 0.1927 		 0.0960
badly 		 0.1970 		 0.0330
illusion 		 0.2000 		 0.0075
maniac 		 0.2000 		 0.0075
stare 		 0.2000 		 0.0075
martha 		 0.2000 		 0.0075
heels 		 0.2000 		 0.0075
nasa 		 0.2000 		 0.0075
monica 		 0.2000 		 0.0075
tolerable 		 0.2000 		 0.0075
saddled 		 0.2000 		 0.0075
asset 		 0.2000 		 0.0075
penis 		 0.2000 		 0.0075
incomprehensible 		 0.2000 		 0.0100
incompetent 		 0.2000 		 0.0100
unconvincing 		 0.2000 		 0.0150
laughable 		 0.2000 		 0.0350
mess 		 0.2000 		 0.0725
dull 		 0.2018 		 0.0570
uninteresting 		 0.2041 		 0.0245
pointless 		 0.2048 		 0.0415
inane 		 0.2051 		 0.0195
sub-plot 		 0.2083 		 0.0120
downhill 		 0.2083 		 0.0120
preposterous 		 0.2105 		 0.0095
azaria 		 0.2105 		 0.0095
plant 		 0.2105 		 0.0095
insult 		 0.2105 		 0.0190
presumably 		 0.2121 		 0.0165
fisherman 		 0.2143 		 0.0070
belt 		 0.2143 		 0.0070
barrage 		 0.2143 		 0.0070
grainy 		 0.2143 		 0.0070
subway 		 0.2143 		 0.0070
exorcist 		 0.2143 		 0.0070
earth's 		 0.2143 		 0.0070
perfunctory 		 0.2143 		 0.0070
ounce 		 0.2143 		 0.0070
amateurish 		 0.2143 		 0.0070
lauren 		 0.2143 		 0.0070
skip 		 0.2143 		 0.0210
tedious 		 0.2143 		 0.0210
breasts 		 0.2162 		 0.0185
huh 		 0.2174 		 0.0115
boring 		 0.2212 		 0.1085
henstridge 		 0.2222 		 0.0090
robbins 		 0.2222 		 0.0090
unwatchable 		 0.2222 		 0.0090
bother 		 0.2222 		 0.0225
alas 		 0.2245 		 0.0245
